id,name,new
512,피클링스파이스,
515,소고기우둔살,우둔
516,소고기채끝,채끝살
518,핫소스,
519,칠리소스,
520,해바라기씨유,
522,해파리,
523,허니머스터드,머스타드
524,갯나물,
525,소고기목심,소목심
527,소면,
529,화이트초콜릿,초콜릿
530,황설탕,설탕
531,황태,
532,후리카케,
534,홍삼진액,홍삼즙
538,홍차,
539,허브솔트,소금
542,현미식초,
543,호박고구마,고구마
544,꽃소금,소금
545,녹차가루,녹차
546,다크초콜릿,초콜릿
547,통깨,깨
549,천일염,소금
550,슈가파우더,
551,양조간장,간장
552,어묵,
554,청포묵,
555,오레가노,
557,흑미,
558,키조개,
560,춘권피,
561,춘장,
562,초콜릿,
564,칠리파우더,고춧가루
567,참치통조림,참치
568,칵테일새우,새우
569,인삼,
570,이스트,
571,이탈리안시즈닝,
572,인스턴트드라이이스트,이스트
573,인스턴트커피,커피
575,옥수수전분,전분
576,진미채,오징어채
577,오트밀,
579,올리브유,
580,올리고당,
581,참송이버섯,
582,와사비,
584,소고기양지,양지
585,소주,
586,영양부추,부추
588,알감자,감자
589,알배기배추,배추
590,안초비,
592,애느타리버섯,느타리버섯
593,양미리,
595,양조식초,
596,애플민트,
598,양파즙,
600,어간장,
601,얼갈이배추,배추
602,어린잎채소,
603,연겨자,겨자
604,여주,
605,에스프레소,커피
606,연어통조림,연어
613,베트남고추,고추
614,월계수잎,
615,유부,
619,자색양파,양파
621,적양배추,양배추
624,정종,
625,정향,
626,젤라틴,
629,후르츠통조림,후르츠칵테일
630,훈제연어,
633,머스터드,
634,햄,
636,피시소스,
637,피자소스,
638,오이피클,피클
643,햄통조림,햄
644,핫케이크가루,핫케이크믹스
647,호떡믹스,
649,풋고추,고추
653,콜라,
654,콜리플라워,
656,큐민,
657,콩비지,
660,타임,
661,탄산수,
662,탈지분유,분유
663,토마토페이스트,토마토소스
665,참치,
666,참기름,
668,참나물,
671,참치액,
673,찹쌀가루,
675,천도복숭아,복숭아
677,청국장,
678,청귤,
680,청양고춧가루,
682,수박껍질,
683,취청오이,오이
684,잔멸치,멸치
686,저지방우유,우유
690,연두부,순두부
691,순대,
696,아몬드슬라이스,아몬드
701,아가베시럽,
702,아로니아,
704,아몬드가루,
709,오만둥이,
710,파슬리,
716,슬라이스햄,햄
717,파프리카파우더,파프리카가루
723,고등어통조림,고등어
724,실고추,고추
725,고수,
726,캡사이신소스,
727,케이퍼,
728,쌀국수면,
729,코다리,
730,코코넛밀크,
732,케찹,
733,코코넛오일,코코넛유
734,코코아,코코아가루
736,콩기름,
739,토장,된장
740,토마토소스,
742,튀김가루,
743,스파게티면,스파게티
744,조선간장,간장
745,조개젓,
746,조청,
747,쥐똥고추,고추
748,토란대,
750,치자,
752,소고기차돌박이,차돌박이
754,쯔유,
755,진간장,
761,요거트파우더,요거트가루
762,우렁,
763,우스타소스,우스터소스
766,쪽파,
767,홀스래디쉬소스,
768,혼다시,MSG
770,고추씨,
774,쌈장,
777,우뭇가사리,
778,쥐포,
781,닭가슴살통조림,닭가슴살
784,황태포,
786,홀그레인머스터드,머스터드
789,프랑크소시지,소시지
792,곤드레나물,
793,노각,
794,누룽지,
795,다시다,MSG
796,당귀,
799,초간장,간장
800,차조,
801,디종머스터드,머스터드
804,낫토,
807,천사채,
809,과메기,
810,고구마줄기,고구마순
811,넛맥,
813,닭봉,
814,돼지고기껍데기,돼지껍데기
817,도다리,
818,돌미나리,
820,도미,
828,나초,
830,굴비,
831,그릭요거트,
834,고구마순,
835,건무화과,
840,럼주,
841,요구르트,
842,쥬키니호박,애호박
843,아삭이고추,고추
847,관자,
848,돼지고기뒷다리,돼지뒷다리살
849,견과류,
852,매실액,
854,초고추장,
855,청주,
856,배즙,
857,된장,
858,떡국떡,
859,돼지등갈비,
861,소고기다짐육,다진소고기
862,맛간장,간장
866,통후추,
867,건다시마,
868,우동면,
872,캐러멜소스,
873,블랙올리브,올리브
874,스파게티소스,
875,드라이이스트,이스트
876,새우살,새우
877,파마산치즈가루,파마산치즈
878,분유,
880,옥수수가루,
881,코코아가루,
883,통밀가루,
884,머위,
886,무말랭이,
