old,new
1220,650
1222,651
1237,652
1239,73
1248,653
1251,654
1252,641
1254,655
1262,216
1265,495
1268,656
1273,657
1281,387
1282,658
1292,314
1296,658
1298,314
1301,314
1303,314
1305,515
1310,659
1345,660
1366,2
1387,661
1395,662
1398,167
1407,181
1411,526
1420,663
1422,219
1432,664
1439,665
1441,666
1454,667
1457,668
1458,669
1461,670
1465,387
1470,181
1472,181
1477,671
1478,552
1479,552
1481,552
1491,672
1520,279
1530,673
1531,553
1538,674
1545,675
1547,676
1555,677
1583,229
1597,678
1600,679
1602,680
1615,681
1621,182
1636,682
1638,683
1646,684
1652,685
1680,686
1696,687
1704,222
1725,384
1740,688
1741,689
1743,690
1759,258
1769,634
1770,617
1779,691
1788,258
1827,692
1841,693
1843,694
1844,695
1859,696
1860,697
1867,698
1884,409
1895,699
1898,346
1900,700
1928,701
1947,331
1951,702
1953,422
1955,631
1961,422
1963,703
1967,525
1968,704
1974,705
1987,706
2005,599
2016,707
2017,708
2032,709
2053,87
2088,710
2106,711
2110,712
2122,713
2166,714
2172,188
2208,331
2240,570
2328,382
2400,715
2410,716
2496,717
2512,181
2532,718
2546,719
2576,720
2596,186
2636,721
2662,552
2666,722
2723,723
2745,181
2752,388
2757,385
2782,73
2817,724
2836,725
2850,412
2859,599
2867,448
2899,154
2907,114
2927,2
2934,31
2935,226
2938,552
2941,31
2950,60
2959,60
2960,60
2968,222
2984,341
2989,373
2990,373
2998,409
2999,279
3025,48
3033,346
3048,112
3055,726
3057,83
3060,134
3068,727
3092,331
3177,1
3186,73
3189,73
3194,73
3217,254
3218,728
3237,73
